cliente_id,nome,email,idade,cidade,estado,data_ultima_compra,total_gasto,frequencia_compras,forma_pagamento,satisfacao,cliente_ativo
1,Norma Fisher,christopherbond@yahoo.com,62,Elliottmouth,NJ,2025-01-26,4635.94,21,Crédito,1,False
2,Jorge Sullivan,jeaton@yahoo.com,65,East Adam,PA,2024-05-24,1615.33,5,Boleto,4,False
3,Elizabeth Woods,mfuller@jones-taylor.com,18,Whitetown,GA,2024-09-29,2075.77,13,Boleto,3,True
4,Susan Wagner,lauren75@gmail.com,21,Jamesside,RI,2025-01-03,3202.0,22,Débito,5,False
5,Peter Montgomery,tdaugherty@pratt-crawford.com,21,Heidiborough,TN,2024-11-28,4464.2,18,Crédito,5,True
6,Theodore Mcgrath,grant52@yahoo.com,57,East Josephberg,CA,2024-05-08,2219.77,23,Crédito,3,True
7,Stephanie Collins,rodriguezmarc@yahoo.com,27,West Codychester,AR,2024-11-03,4648.27,9,Débito,5,True
8,Stephanie Sutton,melissa03@hotmail.com,37,Wyattborough,AK,2024-07-28,3001.2,16,Pix,3,True
9,Brian Hamilton,geoffreygrant@yahoo.com,39,New Kendraview,PA,2024-10-14,2215.75,7,Crédito,3,True
10,Susan Levy,marquezpaula@rodriguez.info,68,Danielfurt,MI,2024-04-18,3004.62,11,Boleto,4,False
11,Sean Green,jasminebrown@gmail.com,54,New Kathrynland,NJ,2024-07-06,1837.08,2,Pix,5,False
12,Kimberly Smith,conleycathy@campbell.org,41,East Jerry,CO,2025-01-30,3319.4,5,Crédito,2,True
13,Jennifer Summers,melissayoder@barrera-schmidt.com,24,Aprilbury,UT,2024-06-18,3296.31,5,Pix,3,True
14,April Snyder,deborahpowell@gmail.com,42,Frankmouth,VA,2024-10-07,4126.42,14,Pix,1,False
15,Dana Nguyen,lewisabigail@lowe-bryant.com,42,Johnport,IA,2024-04-12,2073.56,14,Crédito,3,True
16,Cheryl Bradley,trobles@yahoo.com,30,Nathantown,IA,2024-12-24,284.07,10,Crédito,4,True
17,Walter Pratt,michaelporter@brown.biz,19,South Shannonbury,IL,2024-04-04,4924.69,9,Débito,2,False
18,Bobby Flores,karen15@gonzalez.net,56,Ashleyberg,ID,2025-01-02,2295.9,7,Boleto,3,False
19,Tasha Rodriguez,ldalton@hotmail.com,57,Glennshire,NH,2024-05-28,4694.41,13,Crédito,4,True
20,Michelle Kelley,kim09@hotmail.com,41,South Elizabeth,ID,2024-04-14,3393.0,3,Crédito,4,True
21,Kimberly Maynard,james81@gonzales-rodriguez.info,64,South Michelle,IN,2024-06-08,1406.81,4,Boleto,5,True
