Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Cidade,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Month,Total_com_imposto,Ticket_Type,Branch,Total
1,CA-2017-152156,2017-11-08,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,HENDERSON,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,11,267.19919999999996,Low,D,261.96
2,CA-2017-152156,2017-11-08,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,HENDERSON,Kentucky,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,11,746.5788000000001,High,D,731.94
3,CA-2017-138688,2017-06-12,16/06/2017,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,LOS ANGELES,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,6,14.9124,Low,A,14.62
4,US-2016-108966,2016-10-11,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,FORT LAUDERDALE,Florida,33311.0,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,10,976.72905,High,D,957.58
5,US-2016-108966,2016-10-11,18/10/2016,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,FORT LAUDERDALE,Florida,33311.0,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,10,22.81536,Low,D,22.37
6,CA-2015-115812,2015-06-09,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,LOS ANGELES,California,90032.0,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,6,49.8372,Low,A,48.86
7,CA-2015-115812,2015-06-09,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,LOS ANGELES,California,90032.0,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,6,7.4256,Low,A,7.28
8,CA-2015-115812,2015-06-09,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,LOS ANGELES,California,90032.0,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,925.2950400000001,High,A,907.15
9,CA-2015-115812,2015-06-09,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,LOS ANGELES,California,90032.0,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,6,18.874080000000003,Low,A,18.5
10,CA-2015-115812,2015-06-09,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,LOS ANGELES,California,90032.0,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,6,117.19800000000001,Low,A,114.9
11,CA-2015-115812,2015-06-09,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,LOS ANGELES,California,90032.0,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,6,1740.30768,High,A,1706.18
12,CA-2015-115812,2015-06-09,14/06/2015,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,LOS ANGELES,California,90032.0,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,6,929.65248,High,A,911.42
13,CA-2018-114412,2018-04-15,20/04/2018,Standard Class,AA-10480,Andrew Allen,Consumer,United States,CONCORD,North Carolina,28027.0,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,4,15.86304,Low,D,15.55
14,CA-2017-161389,2017-12-05,10/12/2017,Standard Class,IM-15070,Irene Maddox,Consumer,United States,SEATTLE,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,12,416.13552,Low,A,407.98
15,US-2016-118983,2016-11-22,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,FORT WORTH,Texas,76106.0,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,11,70.1862,Low,C,68.81
16,US-2016-118983,2016-11-22,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,FORT WORTH,Texas,76106.0,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,11,2.5948800000000003,Low,C,2.54
